GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,ErrorHandlingRestController,7,3,0,0,1,1,1,1,1,1
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,UserRestController,0,97,0,8,0,21,0,10,0,6
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,RatingRestController,0,97,0,8,0,21,0,10,0,6
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,TradeRestController,0,97,0,8,0,21,0,10,0,6
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,CurvePointRestController,0,97,0,8,0,21,0,10,0,6
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,BidRestController,0,97,0,8,0,21,0,10,0,6
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,RuleRestController,0,97,0,8,0,21,0,10,0,6
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,HomeRestController,0,5,0,0,0,2,0,2,0,2
Projet7_Poseidon-SpringAPI,fr.orionbs,Application,5,3,0,0,2,1,1,1,1,1
Projet7_Poseidon-SpringAPI,fr.orionbs.models,Rule.RuleBuilder,72,0,0,0,1,0,10,0,10,0
Projet7_Poseidon-SpringAPI,fr.orionbs.models,Trade.TradeBuilder,198,0,0,0,1,0,24,0,24,0
Projet7_Poseidon-SpringAPI,fr.orionbs.models,User,11,61,0,0,2,8,3,11,3,11
Projet7_Poseidon-SpringAPI,fr.orionbs.models,User.UserBuilder,54,0,0,0,1,0,8,0,8,0
Projet7_Poseidon-SpringAPI,fr.orionbs.models,Bid.BidBuilder,207,0,0,0,1,0,25,0,25,0
Projet7_Poseidon-SpringAPI,fr.orionbs.models,ErrorAnswer,36,0,0,0,7,0,8,0,8,0
Projet7_Poseidon-SpringAPI,fr.orionbs.models,CurvePoint,39,45,0,0,4,7,6,10,6,10
Projet7_Poseidon-SpringAPI,fr.orionbs.models,ErrorAnswer.ErrorAnswerBuilder,27,0,0,0,1,0,5,0,5,0
Projet7_Poseidon-SpringAPI,fr.orionbs.models,Rule,28,68,0,0,2,10,2,16,2,16
Projet7_Poseidon-SpringAPI,fr.orionbs.models,Rating,22,50,0,0,2,8,2,12,2,12
Projet7_Poseidon-SpringAPI,fr.orionbs.models,Rating.RatingBuilder,54,0,0,0,1,0,8,0,8,0
Projet7_Poseidon-SpringAPI,fr.orionbs.models,Trade,189,75,0,0,19,7,36,10,36,10
Projet7_Poseidon-SpringAPI,fr.orionbs.models,Bid,199,77,0,0,20,7,38,10,38,10
Projet7_Poseidon-SpringAPI,fr.orionbs.models,CurvePoint.CurvePointBuilder,63,0,0,0,1,0,9,0,9,0
Projet7_Poseidon-SpringAPI,fr.orionbs.security,SecurityConfig,0,77,0,0,0,15,0,5,0,5
Projet7_Poseidon-SpringAPI,fr.orionbs.security,JwtUserDetailsService,25,9,2,0,4,4,2,1,1,1
Projet7_Poseidon-SpringAPI,fr.orionbs.security,JwtTokenUtil,137,7,4,0,28,2,11,2,9,2
Projet7_Poseidon-SpringAPI,fr.orionbs.security,AuthenticationController,60,15,0,0,13,6,3,1,3,1
Projet7_Poseidon-SpringAPI,fr.orionbs.security,JwtRequestFilter,47,30,6,2,8,12,4,3,0,3
Projet7_Poseidon-SpringAPI,fr.orionbs.security,JwtAuthenticationEntryPoint,5,3,0,0,2,1,1,1,1,1
Projet7_Poseidon-SpringAPI,fr.orionbs.mappers,CredentialsMapper,10,3,0,0,2,1,1,1,1,1
Projet7_Poseidon-SpringAPI,fr.orionbs.mappers,TradeMapper,25,64,2,2,6,15,2,5,1,4
Projet7_Poseidon-SpringAPI,fr.orionbs.mappers,RatingMapper,25,70,2,2,6,16,2,5,1,4
Projet7_Poseidon-SpringAPI,fr.orionbs.mappers,BidMapper,25,64,2,2,6,15,2,5,1,4
Projet7_Poseidon-SpringAPI,fr.orionbs.mappers,CurvePointMapper,25,64,2,2,6,15,2,5,1,4
Projet7_Poseidon-SpringAPI,fr.orionbs.mappers,UserMapper,38,51,3,1,9,12,3,4,1,4
Projet7_Poseidon-SpringAPI,fr.orionbs.mappers,RuleMapper,25,82,2,2,6,18,2,5,1,4
Projet7_Poseidon-SpringAPI,fr.orionbs.dtos,BidDTO,0,56,0,0,0,8,0,11,0,11
Projet7_Poseidon-SpringAPI,fr.orionbs.dtos,UserDTO.UserDTOBuilder,45,0,0,0,1,0,7,0,7,0
Projet7_Poseidon-SpringAPI,fr.orionbs.dtos,RatingDTO,8,64,0,0,1,9,2,12,2,12
Projet7_Poseidon-SpringAPI,fr.orionbs.dtos,RuleDTO.RuleDTOBuilder,72,0,0,0,1,0,10,0,10,0
Projet7_Poseidon-SpringAPI,fr.orionbs.dtos,RatingDTO.RatingDTOBuilder,54,0,0,0,1,0,8,0,8,0
Projet7_Poseidon-SpringAPI,fr.orionbs.dtos,TradeDTO.TradeDTOBuilder,45,0,0,0,1,0,7,0,7,0
Projet7_Poseidon-SpringAPI,fr.orionbs.dtos,CurvePointDTO,27,61,5,1,4,9,4,12,1,12
Projet7_Poseidon-SpringAPI,fr.orionbs.dtos,RuleDTO,4,92,0,0,1,11,1,17,1,17
Projet7_Poseidon-SpringAPI,fr.orionbs.dtos,TradeDTO,4,56,0,0,1,8,1,11,1,11
Projet7_Poseidon-SpringAPI,fr.orionbs.dtos,TokenDTO,24,0,0,0,6,0,6,0,6,0
Projet7_Poseidon-SpringAPI,fr.orionbs.dtos,TokenDTO.TokenDTOBuilder,18,0,0,0,1,0,4,0,4,0
Projet7_Poseidon-SpringAPI,fr.orionbs.dtos,CredentialsDTO,64,0,6,0,18,0,12,0,9,0
Projet7_Poseidon-SpringAPI,fr.orionbs.dtos,UserDTO,4,56,0,0,1,8,1,11,1,11
Projet7_Poseidon-SpringAPI,fr.orionbs.services.impl,BidServiceImpl,0,179,0,12,0,50,0,13,0,7
Projet7_Poseidon-SpringAPI,fr.orionbs.services.impl,CurvePointServiceImpl,0,173,0,12,0,48,0,13,0,7
Projet7_Poseidon-SpringAPI,fr.orionbs.services.impl,RuleServiceImpl,0,185,0,12,0,51,0,13,0,7
Projet7_Poseidon-SpringAPI,fr.orionbs.services.impl,RatingServiceImpl,0,177,0,12,0,49,0,13,0,7
Projet7_Poseidon-SpringAPI,fr.orionbs.services.impl,TradeServiceImpl,0,173,0,12,0,48,0,13,0,7
Projet7_Poseidon-SpringAPI,fr.orionbs.services.impl,AdminInitImpl,3,40,1,1,1,11,1,3,0,3
Projet7_Poseidon-SpringAPI,fr.orionbs.services.impl,UserServiceImpl,65,174,5,11,15,48,4,12,1,7
