GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,RatingRestController,0,97,0,8,0,21,0,10,0,6
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,ErrorHandlingRestController,7,3,0,0,1,1,1,1,1,1
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,TradeRestController,0,97,0,8,0,21,0,10,0,6
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,CurvePointRestController,0,97,0,8,0,21,0,10,0,6
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,UserRestController,0,97,0,8,0,21,0,10,0,6
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,BidRestController,0,97,0,8,0,21,0,10,0,6
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,RuleRestController,0,97,0,8,0,21,0,10,0,6
Projet7_Poseidon-SpringAPI,fr.orionbs.restControllers,HomeRestController,0,5,0,0,0,2,0,2,0,2
Projet7_Poseidon-SpringAPI,fr.orionbs.services.impl,BidServiceImpl,0,179,0,12,0,50,0,13,0,7
Projet7_Poseidon-SpringAPI,fr.orionbs.services.impl,TradeServiceImpl,0,173,0,12,0,48,0,13,0,7
Projet7_Poseidon-SpringAPI,fr.orionbs.services.impl,AdminInitImpl,3,40,1,1,1,11,1,3,0,3
Projet7_Poseidon-SpringAPI,fr.orionbs.services.impl,CurvePointServiceImpl,0,173,0,12,0,48,0,13,0,7
Projet7_Poseidon-SpringAPI,fr.orionbs.services.impl,RuleServiceImpl,0,185,0,12,0,51,0,13,0,7
Projet7_Poseidon-SpringAPI,fr.orionbs.services.impl,RatingServiceImpl,0,177,0,12,0,49,0,13,0,7
Projet7_Poseidon-SpringAPI,fr.orionbs.services.impl,UserServiceImpl,65,174,5,11,15,48,4,12,1,7
